AD_Type,price,surface,adress,image_link
Terrains,235 000 000,253,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5600720_uploaded_image1_1762031594.jpg
Terrain,100 000 000,150 m2,"Sicap foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5648361_uploaded_image1_1764507391.jpg
Terrain,2 500 000,NAN ,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5647890_uploaded_image1_1764486221.jpg
Terrain,80 000 000,150 m2,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5647426_uploaded_image1_1764442442.jpg
Terrain,8 500 000,150 m2,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5647372_uploaded_image1_1764439370.jpg
Terrains,14 000 000,150,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5601667_uploaded_image1_1762095957.jpg
Terrain,40 000 000,206 m2,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5645151_uploaded_image2_1764317183.jpeg
Terrain,5 500 000,300,"Mbour, Sénégal",https://images.coinafrique.com/thumb_5644795_uploaded_image1_1764281996.jpg
Terrain,13 000 000,150,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5644593_uploaded_image1_1764272524.jpg
Terrain,32 000 000,150,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5644563_uploaded_image1_1764271386.jpg
Terrain150m²,20 000 000,150,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5644475_uploaded_image1_1764266906.jpg
Terrain,Prix sur demande,2000,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_5644473_uploaded_image1_1764266873.jpg
Terrain,8 000 000,300,"Malikounda, Sénégal",https://images.coinafrique.com/thumb_5644454_uploaded_image1_1764266114.jpg
Terrains,80 000 000,188 m2,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5598044_uploaded_image1_1761868876.jpg
Terrain,12 500 000,150,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_5642184_uploaded_image1_1764159611.jpg
Terrain,22 000 000,200,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5642178_uploaded_image1_1764159520.jpg
Terrain,28 000 000,230 m2,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5640550_uploaded_image1_1764084888.jpg
Terrain,12 000 000,15,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5636863_uploaded_image1_1763914270.jpg
